model_no,product_category,product_subcategory,product_group,product_sub_group,brand,product_name,product_description,actual_price,discount_price,filter_1,filter_2,filter_3,filter_4,filter_5,ratings_and_reviews,attr1:color,attr2:image:1,attr2:image:2,attr2:image:3,attr2:image:4,attr2:image:5,tag_1,tag_2,tag_3,tag_4,tag_5,var1:model_no,var1:product_name,var1:product_description,var1:actual_price,var1:discount_price,var1:attr1:color,var1:attr2:image,var2:model_no,var2:product_name,var2:product_description,var2:actual_price,var2:discount_price,var2:attr2:color,var2:attr2:image,total_variants,total_attributes
SKU:  CH 103,bathroom and kitchen fittings,sanitary ware,shower,shower arm,cera,CERA Hand Shower - F7040102Â Overhead shower arm,Overhead shower arm 200 mm (8”) with wall flange, 450,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/CH-103-Overhead-shower-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CH 106,bathroom and kitchen fittings,sanitary ware,shower,shower arm,cera,CERA Hand Shower - F7040103 Overhead shower arm,Overhead shower arm 230 mm (9″) with wall flange, 555,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/CH-106-Overhead-shower-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CH 108,bathroom and kitchen fittings,sanitary ware,shower,shower arm,cera,CERA Hand Shower - F7040104  Overhead shower arm,Overhead shower arm 305 mm (12″) with wall flange, 770,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/CH-108-Overhead-shower-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CH 109,bathroom and kitchen fittings,sanitary ware,shower,shower arm,cera,CERA Hand Shower - F7040105  Overhead shower arm,Overhead shower arm 380 mm (15″) with wall flange, 970,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/CH-109-Overhead-shower-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CH 107,bathroom and kitchen fittings,sanitary ware,shower,shower arm,cera,CERA Hand Shower - F7040106 Overhead shower arm,Overhead shower arm, 2285,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/CH-107-Overhead-shower-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CH 110-7,bathroom and kitchen fittings,sanitary ware,shower,shower arm,cera,CERA Hand Shower - F7040201 Overhead shower arm,Overhead shower arm 180 mm (7”) with wall flange, 1325,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/06/CH-110-7.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CH 110-12,bathroom and kitchen fittings,sanitary ware,shower,shower arm,cera,CERA Hand Shower - F7040202  Overhead shower arm,Overhead shower arm 305 mm (12”) with wall flange, 1620,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/06/CH-110-12.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  CH 110-15,bathroom and kitchen fittings,sanitary ware,shower,shower arm,cera,CERA Hand Shower - F7040203 Overhead shower arm,Overhead shower arm 380 mm (15”) with wall flange, 1765,,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/06/CH-110-15.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
,shower,shower,shower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,bathroom and kitchen fittings,sanitary ware,shower,shower accessories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
